State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Maharashtra,0,1997,0,10,1.0,1113.0
Maharashtra,0,1997,1,0,17600.0,6300.0
Maharashtra,0,1997,1,1,274100.0,152800.0
Maharashtra,0,1997,1,5,40800.0,18600.0
Maharashtra,0,1997,1,8,900.0,1100.0
Maharashtra,0,1997,1,10,4400.0,4700.0
Maharashtra,0,1997,1,12,10200.0,900.0
Maharashtra,0,1997,1,18,451.0,130.0
Maharashtra,0,1997,1,19,2600.0,2100.0
Maharashtra,0,1997,1,21,5900.0,7200.0
Maharashtra,0,1997,1,26,45900.0,38940.0
Maharashtra,0,1997,1,30,3384.0,1836.0
Maharashtra,0,1997,1,31,1600.0,800.0
Maharashtra,0,1997,2,8,598400.0,217000.0
Maharashtra,0,1997,2,10,6200.0,9100.0
Maharashtra,0,1997,2,15,60.0,3.0
Maharashtra,0,1997,2,32,79700.0,87100.0
Maharashtra,0,1997,3,10,1100.0,1900.0
Maharashtra,0,1997,4,4,98.0,17900.0
Maharashtra,0,1998,1,0,18800.0,9700.0
Maharashtra,0,1998,1,1,302400.0,243900.0
Maharashtra,0,1998,1,3,400.0,100.0
Maharashtra,0,1998,1,4,12100.0,19900.0
Maharashtra,0,1998,1,7,7100.0,6200.0
Maharashtra,0,1998,1,8,300.0,500.0
Maharashtra,0,1998,1,10,5800.0,12500.0
Maharashtra,0,1998,1,12,15600.0,9100.0
Maharashtra,0,1998,1,13,2100.0,900.0
Maharashtra,0,1998,1,16,4100.0,2400.0
Maharashtra,0,1998,1,17,16800.0,7000.0
Maharashtra,0,1998,1,19,3000.0,2100.0
Maharashtra,0,1998,1,21,5600.0,7400.0
Maharashtra,0,1998,1,23,900.0,300.0
Maharashtra,0,1998,1,25,4600.0,5500.0
Maharashtra,0,1998,1,26,59600.0,5231800.0
Maharashtra,0,1998,1,27,11500.0,3500.0
Maharashtra,0,1998,1,31,2800.0,1300.0
Maharashtra,0,1998,2,5,59600.0,40900.0
Maharashtra,0,1998,2,8,453200.0,227900.0
Maharashtra,0,1998,2,9,1200.0,400.0
Maharashtra,0,1998,2,10,7900.0,12200.0
Maharashtra,0,1998,2,15,500.0,300.0
Maharashtra,0,1998,2,16,3000.0,3700.0
Maharashtra,0,1998,2,20,200.0,36.90909090909091
Maharashtra,0,1998,2,22,30000.0,18500.0
Maharashtra,0,1998,2,23,400.0,100.0
