State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Gram,40800.0,18600.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Sugarcane,45900.0,38940.0
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Wheat,79700.0,87100.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sugarcane,59600.0,5231800.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Gram,59600.0,40900.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Wheat,124400.0,154200.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Gram,55300.0,34600.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Wheat,127000.0,178800.0
Maharashtra,AHMEDNAGAR,1999,Whole Year ,Sugarcane,66600.0,5962900.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Gram,61000.0,30300.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Wheat,94700.0,135800.0
Maharashtra,AHMEDNAGAR,2000,Whole Year ,Sugarcane,67100.0,5163900.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Bajra,194400.0,82000.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Gram,60000.0,33100.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Wheat,93800.0,156300.0
Maharashtra,AHMEDNAGAR,2001,Whole Year ,Sugarcane,52000.0,3596300.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Bajra,218400.0,158900.0
Maharashtra,AHMEDNAGAR,2002,Rabi       ,Gram,64500.0,26500.0
Maharashtra,AHMEDNAGAR,2002,Rabi       ,Wheat,70400.0,88500.0
Maharashtra,AHMEDNAGAR,2002,Whole Year ,Sugarcane,49400.0,3303000.0
Maharashtra,AHMEDNAGAR,2003,Kharif     ,Bajra,204100.0,70800.0
Maharashtra,AHMEDNAGAR,2003,Rabi       ,Gram,50900.0,20500.0
Maharashtra,AHMEDNAGAR,2004,Rabi       ,Gram,61700.0,40900.0
Maharashtra,AHMEDNAGAR,2004,Rabi       ,Wheat,89300.0,154600.0
Maharashtra,AHMEDNAGAR,2005,Kharif     ,Bajra,217700.0,54800.0
Maharashtra,AHMEDNAGAR,2005,Kharif     ,Sugarcane,56600.0,4395300.0
Maharashtra,AHMEDNAGAR,2005,Rabi       ,Gram,68600.0,47100.0
Maharashtra,AHMEDNAGAR,2005,Rabi       ,Wheat,103100.0,153800.0
Maharashtra,AHMEDNAGAR,2006,Kharif     ,Soyabean,49000.0,64500.0
Maharashtra,AHMEDNAGAR,2006,Rabi       ,Gram,95800.0,65700.0
Maharashtra,AHMEDNAGAR,2006,Rabi       ,Wheat,153900.0,248100.0
Maharashtra,AHMEDNAGAR,2008,Kharif     ,Bajra,128200.0,92400.0
Maharashtra,AHMEDNAGAR,2008,Kharif     ,Cotton(lint),59300.0,93300.0
Maharashtra,AHMEDNAGAR,2008,Kharif     ,Soyabean,55500.0,40100.0
Maharashtra,AHMEDNAGAR,2008,Kharif     ,Sugarcane,77500.0,5564800.0
Maharashtra,AHMEDNAGAR,2008,Rabi       ,Gram,90500.0,65700.0
Maharashtra,AHMEDNAGAR,2008,Rabi       ,Wheat,138200.0,219200.0
Maharashtra,AHMEDNAGAR,2008,Whole Year ,Sugarcane,77500.0,5564800.0
Maharashtra,AHMEDNAGAR,2009,Kharif     ,Bajra,190700.0,115400.0
Maharashtra,AHMEDNAGAR,2009,Kharif     ,Cotton(lint),82700.0,125100.0
Maharashtra,AHMEDNAGAR,2009,Kharif     ,Soyabean,58000.0,53200.0
Maharashtra,AHMEDNAGAR,2009,Kharif     ,Sugarcane,75600.0,6339000.0
Maharashtra,AHMEDNAGAR,2009,Rabi       ,Gram,102300.0,75700.0
Maharashtra,AHMEDNAGAR,2009,Rabi       ,Wheat,129500.0,216000.0
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Bajra,196000.0,186800.0
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Cotton(lint),101700.0,221100.0
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Maize,45300.0,139500.0
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Soyabean,50700.0,90800.0
Maharashtra,AHMEDNAGAR,2010,Kharif     ,Sugarcane,126000.0,11516400.0
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Gram,115200.0,94000.0
Maharashtra,AHMEDNAGAR,2010,Rabi       ,Wheat,133700.0,248900.0
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Bajra,184700.0,179500.0
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Cotton(lint),112000.0,238100.0
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Maize,46300.0,125500.0
Maharashtra,AHMEDNAGAR,2011,Kharif     ,Soyabean,58600.0,122700.0
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Gram,45300.0,27700.0
Maharashtra,AHMEDNAGAR,2011,Rabi       ,Wheat,48100.0,88700.0
Maharashtra,AHMEDNAGAR,2011,Whole Year ,Sugarcane,129500.0,11879200.0
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Bajra,160500.0,55400.0
